longitude,latitude
14.5711512,51.5029582
14.5684471,51.516811
14.5830002,51.5107127
14.6310612,51.3826418
14.6369806,51.3795899
14.6421779,51.3797741
14.6481662,51.377788
14.6546397,51.3768635
14.6000288,51.3880922
14.5732147,51.3980225
14.5807041,51.4003502
14.5860009,51.4016117
14.6158181,51.3613581
14.6404999,51.3984721
14.5702169,51.4034182
14.5905969,51.4015132
14.6044749,51.400891
14.6077234,51.39634
14.577371,51.4103412
14.5822403,51.4092351
14.5896058,51.4071828
14.5887514,51.4119206
14.5347968,51.5269165
14.5388635,51.5230609
14.4847458,51.3685954
14.4932177,51.3663545
14.4881458,51.3652587
14.4817676,51.3659294
14.4729124,51.3596579
14.4788459,51.3556797
14.6085576,51.5022756
14.5255594,51.5047712
14.5185168,51.5103364
14.533541,51.5088333
14.5597613,51.4078065
14.5816106,51.3688864
14.5783625,51.3641477
14.5931912,51.4037725
14.5391334,51.5292289
14.5444783,51.5293503
14.5506326,51.5279136
14.554523,51.525316
14.7150668,51.5229765
14.7054393,51.5222568
14.7179094,51.5087123
14.7165111,51.5154998
14.7206078,51.5207784
14.7255588,51.5257031
14.7222583,51.5316027
14.7021004,51.5264954
14.7176411,51.532012
14.5094658,51.3682302
14.5148842,51.3723867
14.7453693,51.5157714
14.753935,51.5167167
14.7432624,51.5093693
14.7496494,51.5055384
14.7639479,51.4965068
14.7727366,51.4911786
14.780161,51.4840299
14.7341383,51.5106548
14.727294,51.5096472
14.7085038,51.50965
14.7014204,51.5094619
14.6952169,51.5089519
14.6907013,51.5087254
14.6846339,51.5085074
14.6985535,51.5136473
14.6931744,51.5208207
14.6928609,51.5133344
14.6814399,51.5118657
14.6999751,51.5214164
14.7055327,51.5203681
14.5338773,51.5342917
14.5826501,51.4114671
14.8573686,51.4597603
14.8985049,51.4705169
14.9057813,51.4667008
14.7922164,51.4868541
14.7723957,51.4848611
14.76693,51.4841055
14.7547033,51.482349
14.7452144,51.4809262
14.7356764,51.4795691
14.7305008,51.4788674
14.752004,51.4989394
14.7613862,51.4702579
14.762033,51.4919042
14.5965076,51.3364519
14.5433833,51.4246233
14.7601445,51.5011183
14.7656212,51.50176
14.7622639,51.5055359
14.7670861,51.5002382
14.8085768,51.4976535
14.8036948,51.5003674
14.7984241,51.5021609
14.7953534,51.496103
14.7921079,51.4994217
14.7875186,51.5001059
14.7789845,51.4983336
14.475015,51.5541178
14.8151352,51.5010472
14.8241065,51.5047787
14.7935335,51.5094823
14.7985509,51.5075679
14.7931749,51.5155829
14.8164691,51.4936727
14.8005857,51.47458
14.8080414,51.472078
14.7794164,51.5158032
14.7974279,51.5131516
14.5474849,51.4296016
14.7562716,51.4779046
14.749516,51.5206163
14.7447418,51.5205738
14.7393502,51.5212508
14.5021425,51.3687383
14.4729412,51.5142572
14.7142394,51.5238514
14.7741827,51.5007357
14.7805709,51.5044001
14.7864224,51.5056495
14.7792183,51.5067623
14.7690073,51.5184204
14.5649653,51.5009868
14.5591868,51.4992827
14.7619571,51.5150899
14.7666684,51.5126156
14.7713925,51.5130876
14.5650214,51.4111613
14.5996675,51.4033509
14.6073685,51.4019842
14.7226546,51.5048215
14.7166195,51.5034532
14.7180662,51.4926674
14.7073859,51.4970153
14.7126212,51.4959925
14.7234582,51.4939999
14.8211271,51.4832985
14.8398785,51.4881701
14.8651009,51.4866239
14.7188678,51.4945724
14.7143354,51.4915553
14.7089285,51.4871046
14.7045821,51.4961629
14.7215377,51.498767
14.9242135,51.468472
14.7597128,51.5178884
14.59395,51.4266605
14.589907,51.4202477
14.5884766,51.4150591
14.5903506,51.5670913
14.5854519,51.5679823
14.5777654,51.5747062
14.479828,51.5060812
14.4746638,51.5004052
14.480276,51.4778763
14.4934071,51.4668778
14.5059364,51.4570121
14.5096821,51.4540988
14.5336775,51.4278723
14.6881681,51.4870891
14.6977753,51.4815232
14.6925125,51.4817051
14.6768601,51.4909168
14.6929153,51.497121
14.6914983,51.4881619
14.702108,51.4889214
14.6044841,51.3717575
14.6097765,51.3754913
14.7484238,51.5122144
14.7396133,51.5162944
14.7302907,51.5166724
14.8003412,51.4909547
14.7898415,51.4933736
14.7810583,51.4923832
14.7524778,51.4882422
14.7430081,51.4869528
14.7408496,51.4927105
14.7196235,51.4641847
14.7240111,51.4710063
14.7169758,51.4633913
14.732597,51.4832703
14.7472831,51.4749351
14.7513873,51.4815848
14.7378735,51.4735795
14.7691099,51.4780943
14.7843137,51.5053209
14.5472744,51.4797685
14.5544811,51.4760319
